gene set	gene
Phosphate	AC5u0009GL000668
Phosphate	AC5u0009GL000669
Phosphate	AC5u0009GL000674
Phosphate	AC5u0009GL000727
Phosphate	AC5u0009GL000728
Phosphate	AC5u0009GL000729
Phosphate	AC5u0009GL000769
Phosphate	AC5u0009GL000770
Phosphate	AC5u0009GL000771
Phosphate	AC5u0009GL000777
Phosphate	AC5u0009GL000800
Phosphate	AC5u0009GL000826
Phosphate	AC5u0009GL000834
Phosphate	AC5u0009GL000848
Phosphate	AC5u0009GL000849
Phosphate	AC5u0009GL000889
Phosphate	AC5u0009GL000892
Phosphate	AC5u0009GL000894
Phosphate	AC5u0009GL000895
Phosphate	AC5u0009GL000897
Phosphate	AC5u0009GL000899
Phosphate	AC5u0009GL000900
Phosphate	AC5u0009GL000908
Phosphate	AC5u0009GL000914
Phosphate	AC5u0009GL000915
Phosphate	AC5u0009GL000916
Phosphate	AC5u0009GL000931
Phosphate	AC5u0009GL000964
Phosphate	AC5u0009GL000976
Phosphate	AC5u0009GL001046
Phosphate	AC5u0009GL001052
Phosphate	AC5u0009GL001065
Phosphate	AC5u0009GL001066
Phosphate	AC5u0009GL001067
Phosphate	AC5u0009GL001081
Phosphate	AC5u0009GL001089
Phosphate	AC5u0009GL001144
Phosphate	AC5u0009GL001182
Phosphate	AC5u0009GL001183
Phosphate	AC5u0009GL001190
Phosphate	AC5u0009GL001217
Phosphate	AC5u0009GL001218
Phosphate	AC5u0009GL001224
