gene set	gene
D-methionine transport via ABC system	AC5u0009GL001233
D-methionine transport via ABC system	AC5u0009GL001666
D-methionine transport via ABC system	AC5u0009GL001848
D-methionine transport via ABC system	AC5u0009GL002128
D-serine dehydrogenase	AC5u0009GL001259
D-serine transport via proton symport	AC5u0009GL001042
D-serine transport via proton symport	AC5u0009GL001664
DCMP deaminase	AC5u0009GL001387
Decanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase	AC5u0009GL000221
Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase	AC5u0009GL000227
Deoxyadenosine deaminase	AC5u0009GL000758
Deoxycytidine kinase	AC5u0009GL000071
Deoxyribokinase	AC5u0009GL000982
Deoxyribokinase	AC5u0009GL001057
Diacylglycerol kinase (LRE specific)	AC5u0009GL000332
Diacylglycerol kinase (LRE specific)	AC5u0009GL001598
Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	AC5u0009GL001777
Dihydoorotic acid dehydrogenase  irreversible 	AC5u0009GL001495
Dihydroneopterin monophosphate dephosphorylase	AC5u0009GL000848
Dihydroneopterin monophosphate dephosphorylase	AC5u0009GL001067
Dihydroneopterin monophosphate dephosphorylase	AC5u0009GL000642
Dihydroneopterin monophosphate dephosphorylase	AC5u0009GL002154
Dihydroneopterin triphosphate pyrophosphatase	AC5u0009GL000848
Dihydroneopterin triphosphate pyrophosphatase	AC5u0009GL001067
Dihydropteroate synthase	AC5u0009GL000847
Dihydropteroate synthase	AC5u0009GL001068
Dihydrouracil dehydrogenase (NAD)	AC5u0009GL001033
Dihydrouracil dehydrogenase (NAD)	AC5u0009GL001034
Dihydroxyacetone transport via facilitated diffusion	AC5u0009GL001930
Diphosphate transport in via ABC system	AC5u0009GL001314
Diphosphate transport in via ABC system	AC5u0009GL001315
Diphosphate transport in via ABC system	AC5u0009GL001316
Diphosphate transport in via ABC system	AC5u0009GL001317
Dodecanoyl-[acyl-carrier protein]: malonyl-CoA  C-acyltransferase	AC5u0009GL000221
Dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]  C-acyltransferase	AC5u0009GL000227
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	AC5u0009GL000221
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	AC5u0009GL000221
FMN adenylyltransferase	AC5u0009GL000185
FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	AC5u0009GL000858
FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	AC5u0009GL001752
FMN reductase	AC5u0009GL001904
Formyl-CoA Transferase	AC5u0009GL000692
Fructose-bisphosphatase	AC5u0009GL000581
Fumarate reductase NADH 	AC5u0009GL001117
GDP diphosphokinase	AC5u0009GL000169
GMP reductase	AC5u0009GL000395
GMP synthase	AC5u0009GL000967
GMP synthase (glutamine-hydrolysing)	AC5u0009GL000459
GMP synthase (glutamine-hydrolysing)	AC5u0009GL000967
GTP 3',8-cyclase	AC5u0009GL001952
GTP cyclohydrolase I	AC5u0009GL001064
GTP cyclohydrolase II	AC5u0009GL000911
GTP cyclohydrolase II	AC5u0009GL001775
GTP cyclohydrolase II (25drapp)	AC5u0009GL000911
GTP cyclohydrolase II (25drapp)	AC5u0009GL001775
GTP diphosphokinase	AC5u0009GL000169
GTP diphosphokinase	AC5u0009GL000405
GTP diphosphokinase	AC5u0009GL001811
Galactokinase	AC5u0009GL002028
Glucose lipoteichoic acid ligase	AC5u0009GL001177
Glucose lipoteichoic acid ligase	AC5u0009GL001178
Glucose ribitol teichoic acid ligase	AC5u0009GL001162
Glucose-1-phosphatase	AC5u0009GL002089
Glucose-1-phosphatase	AC5u0009GL000581
Glucose-6-phosphate isomerase	AC5u0009GL000149
Glucose-6-phosphate phosphatase	AC5u0009GL002089
Glucose-6-phosphate phosphatase	AC5u0009GL001752
Glucose-6-phosphate phosphatase	AC5u0009GL000639
Glucose-6-phosphate phosphatase	AC5u0009GL002157
Glutaminyl tRNA synthetase	AC5u0009GL000329
